file,line,locator,target
sev_compiler/frontend/semantic/semantic/src/constraints.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/lazy_bodies.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/body_archive.sev,2,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/body_archive/part_02.sev,2,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/body_archive/part_01.sev,2,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/body_archive/part_00.sev,2,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/with.sev,3,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/callable_index.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/closures.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/mir/ownership/ownership/src/effects.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/mir/ownership/ownership/src/effects.sev,2,universal,sev_compiler/universal/package.json
sev_compiler/mir/ownership/ownership/src/effects.sev,3,universal,sev_compiler/universal/package.json
sev_compiler/mir/ownership/ownership/src/loans.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/test_modes.sev,3,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/match.sev,3,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/match.sev,5,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/compiler_cases.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/construction.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/expansion.sev,3,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/packs.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/grammar_scalar.sev,2,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/grammar_scalar.sev,4,universal,sev_compiler/universal/package.json
sev_compiler/driver/driver/src/pipeline/prelude_package.sev,2,universal,universal/package.json
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive.sev,2,universal,universal/package.json
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive.sev,6,package:semantic/src/callable.sev,sev_compiler/frontend/semantic/src/callable.sev
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive.sev,7,package:semantic/src/definitions.sev,sev_compiler/frontend/semantic/src/definitions.sev
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_06.sev,2,universal,universal/package.json
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_06.sev,6,package:semantic/src/callable.sev,sev_compiler/frontend/semantic/src/callable.sev
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_06.sev,7,package:semantic/src/definitions.sev,sev_compiler/frontend/semantic/src/definitions.sev
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_05.sev,2,universal,universal/package.json
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_05.sev,6,package:semantic/src/callable.sev,sev_compiler/frontend/semantic/src/callable.sev
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_05.sev,7,package:semantic/src/definitions.sev,sev_compiler/frontend/semantic/src/definitions.sev
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_04.sev,2,universal,universal/package.json
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_04.sev,6,package:semantic/src/callable.sev,sev_compiler/frontend/semantic/src/callable.sev
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_04.sev,7,package:semantic/src/definitions.sev,sev_compiler/frontend/semantic/src/definitions.sev
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_03.sev,2,universal,universal/package.json
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_03.sev,6,package:semantic/src/callable.sev,sev_compiler/frontend/semantic/src/callable.sev
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_03.sev,7,package:semantic/src/definitions.sev,sev_compiler/frontend/semantic/src/definitions.sev
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_02.sev,2,universal,universal/package.json
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_02.sev,6,package:semantic/src/callable.sev,sev_compiler/frontend/semantic/src/callable.sev
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_02.sev,7,package:semantic/src/definitions.sev,sev_compiler/frontend/semantic/src/definitions.sev
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_01.sev,2,universal,universal/package.json
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_01.sev,6,package:semantic/src/callable.sev,sev_compiler/frontend/semantic/src/callable.sev
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_01.sev,7,package:semantic/src/definitions.sev,sev_compiler/frontend/semantic/src/definitions.sev
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_00.sev,2,universal,universal/package.json
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_00.sev,6,package:semantic/src/callable.sev,sev_compiler/frontend/semantic/src/callable.sev
sev_compiler/driver/package.pkg/build/4315963e8e1a75334151011317acce78d5c4408a26f1c097cd54908b4a122792/staging/frontend_archive/part_00.sev,7,package:semantic/src/definitions.sev,sev_compiler/frontend/semantic/src/definitions.sev
sev_compiler/driver/driver/src/pipeline/editor.sev,3,universal,universal/package.json
sev_compiler/driver/driver/src/pipeline/editor.sev,4,universal,universal/package.json
sev_compiler/mir/mir/src/agent_ir.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/mir/mir/src/agent_ir.sev,2,universal,sev_compiler/universal/package.json
sev_compiler/mir/mir/src/semantic_graph.sev,2,universal,sev_compiler/universal/package.json
sev_compiler/mir/mir/src/semantic_graph.sev,3,universal,sev_compiler/universal/package.json
sev_compiler/mir/mir/src/cfg.sev,2,universal,sev_compiler/universal/package.json
sev_compiler/mir/mir/src/cfg.sev,3,universal,sev_compiler/universal/package.json
sev_compiler/mir/mir/src/cfg.sev,4,package:cfg_builder/src/lib.sev,sev_compiler/mir/cfg/src/lib.sev
sev_compiler/mir/mir/src/cfg.sev,5,universal,sev_compiler/universal/package.json
sev_compiler/mir/mir/src/cfg.sev,6,universal,sev_compiler/universal/package.json
sev_compiler/mir/ownership/ownership/src/cfg.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/mir/ownership/ownership/src/cfg.sev,5,universal,sev_compiler/universal/package.json
sev_compiler/mir/ownership/ownership/src/cfg.sev,6,universal,sev_compiler/universal/package.json
sev_compiler/mir/ownership/ownership/src/provenance.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/mir/mir/src/hierarchy_ir.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/driver/driver/src/pipeline/quality.sev,2,universal,universal/package.json
sev_compiler/mir/mir/src/quality.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/driver/driver/src/pipeline/mir_archive.sev,2,package:interface/src/package_metadata.sev,sev_compiler/interface/src/package_metadata.sev
sev_compiler/driver/driver/src/pipeline/mir_archive.sev,3,universal,universal/package.json
sev_compiler/driver/driver/src/pipeline/mir_archive.sev,4,package:interface/src/semantic_graph.sev,sev_compiler/interface/src/semantic_graph.sev
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive.sev,2,universal,universal/package.json
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive.sev,6,package:semantic/src/callable.sev,sev_compiler/frontend/semantic/src/callable.sev
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive.sev,7,package:semantic/src/definitions.sev,sev_compiler/frontend/semantic/src/definitions.sev
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_07.sev,2,universal,universal/package.json
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_07.sev,6,package:semantic/src/callable.sev,sev_compiler/frontend/semantic/src/callable.sev
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_07.sev,7,package:semantic/src/definitions.sev,sev_compiler/frontend/semantic/src/definitions.sev
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_06.sev,2,universal,universal/package.json
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_06.sev,6,package:semantic/src/callable.sev,sev_compiler/frontend/semantic/src/callable.sev
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_06.sev,7,package:semantic/src/definitions.sev,sev_compiler/frontend/semantic/src/definitions.sev
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_05.sev,2,universal,universal/package.json
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_05.sev,6,package:semantic/src/callable.sev,sev_compiler/frontend/semantic/src/callable.sev
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_05.sev,7,package:semantic/src/definitions.sev,sev_compiler/frontend/semantic/src/definitions.sev
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_04.sev,2,universal,universal/package.json
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_04.sev,6,package:semantic/src/callable.sev,sev_compiler/frontend/semantic/src/callable.sev
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_04.sev,7,package:semantic/src/definitions.sev,sev_compiler/frontend/semantic/src/definitions.sev
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_03.sev,2,universal,universal/package.json
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_03.sev,6,package:semantic/src/callable.sev,sev_compiler/frontend/semantic/src/callable.sev
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_03.sev,7,package:semantic/src/definitions.sev,sev_compiler/frontend/semantic/src/definitions.sev
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_02.sev,2,universal,universal/package.json
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_02.sev,6,package:semantic/src/callable.sev,sev_compiler/frontend/semantic/src/callable.sev
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_02.sev,7,package:semantic/src/definitions.sev,sev_compiler/frontend/semantic/src/definitions.sev
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_01.sev,2,universal,universal/package.json
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_01.sev,6,package:semantic/src/callable.sev,sev_compiler/frontend/semantic/src/callable.sev
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_01.sev,7,package:semantic/src/definitions.sev,sev_compiler/frontend/semantic/src/definitions.sev
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_00.sev,2,universal,universal/package.json
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_00.sev,6,package:semantic/src/callable.sev,sev_compiler/frontend/semantic/src/callable.sev
sev_compiler/driver/package.pkg/build/d5b5f92f7323a51398b4f521b57157db14b20dca92e1500e794fb91194f48ea6/staging/mir_archive/part_00.sev,7,package:semantic/src/definitions.sev,sev_compiler/frontend/semantic/src/definitions.sev
sev_compiler/driver/driver/src/pipeline/package_interface.sev,2,universal,universal/package.json
sev_compiler/frontend/modules/modules/src/source.sev,1,package:interface/src/package_metadata.sev,sev_compiler/boundaries/interface/src/package_metadata.sev
sev_compiler/frontend/modules/modules/src/source.sev,6,universal,sev_compiler/universal/package.json
sev_compiler/frontend/modules/modules/src/source.sev,15,package:interface/src/semantic_payload.sev,sev_compiler/boundaries/interface/src/semantic_payload.sev
sev_compiler/frontend/modules/modules/src/semantic_interface.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/frontend/modules/modules/src/identity.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/frontend/modules/modules/src/imports.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/frontend/modules/modules/src/lexical.sev,5,universal,sev_compiler/universal/package.json
sev_compiler/lir/mlir/mlir/src/ir/validate.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/lir/mlir/mlir/src/ir/validate.sev,2,universal,sev_compiler/universal/package.json
sev_compiler/lir/mlir/mlir/src/emit/callable.sev,2,universal,sev_compiler/universal/package.json
sev_compiler/lir/mlir/mlir/src/emit/callable.sev,3,universal,sev_compiler/universal/package.json
sev_compiler/lir/mlir/mlir/src/emit/callable.sev,4,universal,sev_compiler/universal/package.json
sev_compiler/lir/mlir/mlir/src/emit/callable.sev,9,universal,sev_compiler/universal/package.json
sev_compiler/lir/mlir/mlir/src/emit/debug.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/lir/mlir/mlir/src/emit/debug.sev,4,universal,sev_compiler/universal/package.json
sev_compiler/lir/mlir/mlir/src/emit/strings.sev,2,universal,sev_compiler/universal/package.json
sev_compiler/mir/ownership/ownership/src/plan.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/mir/ownership/ownership/src/initialization.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/mir/mir/src/callable.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/mir/mir/src/callable.sev,7,universal,sev_compiler/universal/package.json
sev_compiler/mir/mir/src/callable.sev,8,universal,sev_compiler/universal/package.json
sev_compiler/mir/mir/src/aggregate.sev,1,universal,sev_compiler/universal/package.json
sev_compiler/mir/mir/src/aggregate.sev,4,universal,sev_compiler/universal/package.json
sev_compiler/driver/driver/src/package_compiler.sev,1,universal,universal/package.json
sev_compiler/driver/driver/src/package_compiler.sev,7,package:backend/src/native_mlir.sev,sev_compiler/backend/src/native_mlir.sev
sev_compiler/driver/driver/src/package_compiler.sev,9,package:interface/src/package_metadata.sev,sev_compiler/interface/src/package_metadata.sev
sev_compiler/driver/driver/src/directory_tests.sev,7,package:backend/src/native_mlir.sev,sev_compiler/backend/src/native_mlir.sev
